T_K,p_mmHg,p_bar,N_mmol_per_g,source
273,25,0.033330,0.8,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
273,50,0.066661,1.7,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
273,75,0.099991,2.25,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
273,100,0.133322,2.6,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
273,125,0.166653,2.75,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
273,150,0.199983,2.81,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
273,200,0.266644,2.84,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
273,300,0.399966,2.87,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
273,400,0.533288,2.88,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
273,500,0.666610,2.88,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
273,600,0.799932,2.88,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
273,700,0.933254,2.88,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
273,800,1.066576,2.88,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
273,900,1.199898,2.89,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
298,25,0.033330,0.2,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
298,50,0.066661,0.6,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
298,75,0.099991,1.0,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
298,100,0.133322,1.4,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
298,150,0.199983,2.1,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
298,200,0.266644,2.55,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
298,300,0.399966,3.15,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
298,400,0.533288,3.55,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
298,500,0.666610,3.8,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
298,600,0.799932,3.95,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
298,700,0.933254,4.05,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
298,800,1.066576,4.1,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
298,900,1.199898,4.15,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
323,50,0.066661,0.15,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
323,100,0.133322,0.35,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
323,150,0.199983,0.65,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
323,200,0.266644,1.0,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
323,300,0.399966,1.65,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
323,400,0.533288,2.2,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
323,500,0.666610,2.75,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
323,600,0.799932,3.2,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
323,700,0.933254,3.6,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
323,800,1.066576,3.9,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
323,900,1.199898,4.15,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
348,100,0.133322,0.04,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
348,200,0.266644,0.13,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
348,300,0.399966,0.32,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
348,400,0.533288,0.62,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
348,500,0.666610,0.98,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
348,600,0.799932,1.38,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
348,700,0.933254,1.82,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
348,800,1.066576,2.22,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
348,900,1.199898,2.48,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
398,100,0.133322,0.0,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
398,200,0.266644,0.01,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
398,300,0.399966,0.02,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
398,400,0.533288,0.03,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
398,500,0.666610,0.05,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
398,600,0.799932,0.07,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
398,700,0.933254,0.09,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
398,800,1.066576,0.11,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
398,900,1.199898,0.12,Evans 2022 Sci.Adv. ade1473 Fig.2A re-digitized 2026-05-21
