p_total_mmHg,p_total_bar,S_CO2_N2,x_CO2,x_N2
1.0,1.333220e-03,3.71,0.395707,0.604293
5.0,6.666100e-03,3.71,0.395772,0.604228
10.0,1.333220e-02,3.71,0.395853,0.604147
25.0,3.333050e-02,3.72,0.396093,0.603907
50.0,6.666100e-02,3.72,0.396483,0.603517
100.0,1.333220e-01,3.73,0.397231,0.602769
200.0,2.666440e-01,3.76,0.398613,0.601387
300.0,3.999660e-01,3.78,0.399869,0.600131
400.0,5.332880e-01,3.79,0.401023,0.598977
500.0,6.666100e-01,3.81,0.402090,0.597910
600.0,7.999320e-01,3.83,0.403084,0.596916
700.0,9.332540e-01,3.84,0.404015,0.595985
800.0,1.066576e+00,3.86,0.404890,0.595110
900.0,1.199898e+00,3.87,0.405718,0.594282
