p_bar,p_mmHg,N_mmol_g_abs
1.000000e-03,0.75,0.004861
1.458451e-03,1.09,0.007086
2.127078e-03,1.60,0.010326
3.102239e-03,2.33,0.015042
4.524463e-03,3.39,0.021900
6.598706e-03,4.95,0.031859
9.623887e-03,7.22,0.046294
1.403597e-02,10.53,0.067156
2.047076e-02,15.35,0.097186
2.985560e-02,22.39,0.140165
4.354292e-02,32.66,0.201172
6.350520e-02,47.63,0.286780
9.261921e-02,69.47,0.405018
1.350805e-01,101.32,0.564882
1.970083e-01,147.77,0.775100
2.873269e-01,215.51,1.042106
4.190522e-01,314.32,1.367597
6.111669e-01,458.41,1.746763
8.913568e-01,668.57,2.168410
1.300000e+00,975.08,2.617372
