variant,n_co2,k,E_full
direct,1,1,-25.256981916960445
direct,2,1,-26.156074322719228
direct,2,2,32.19075884192843
direct,3,1,-86.86847106131658
direct,3,2,37.409589935473534
direct,3,3,-75.37664183426533
direct,4,1,-0.2321629141718607
direct,4,2,160.8379197203152
direct,4,3,65.42865047737739
direct,4,4,-142.05603985965863
smeared σ=0.5,1,1,-25.256981916960445
smeared σ=0.5,2,1,-26.156074322884653
smeared σ=0.5,2,2,32.19075883574802
smeared σ=0.5,3,1,-86.86847106131741
smeared σ=0.5,3,2,37.40958993299638
smeared σ=0.5,3,3,-75.37664183434485
smeared σ=0.5,4,1,-0.2321629057220664
smeared σ=0.5,4,2,160.8379197203152
smeared σ=0.5,4,3,65.42865047802046
smeared σ=0.5,4,4,-142.0560398549661
smeared σ=0.7,1,1,-25.256981961531707
smeared σ=0.7,2,1,-26.156103250392277
smeared σ=0.7,2,2,32.19046116378299
smeared σ=0.7,3,1,-86.86847306105814
smeared σ=0.7,3,2,37.409413029075196
smeared σ=0.7,3,3,-75.37667817674293
smeared σ=0.7,4,1,-0.23184584936639085
smeared σ=0.7,4,2,160.83791949196802
smeared σ=0.7,4,3,65.42875535323984
smeared σ=0.7,4,4,-142.0556973320275
smeared σ=1.0,1,1,-25.258224026604452
smeared σ=1.0,2,1,-26.16103041520427
smeared σ=1.0,2,2,32.07250282839535
smeared σ=1.0,3,1,-86.87111325492019
smeared σ=1.0,3,2,37.330792339730706
smeared σ=1.0,3,3,-75.42689401703399
smeared σ=1.0,4,1,-0.15337962905407848
smeared σ=1.0,4,2,160.83758460896334
smeared σ=1.0,4,3,65.51298798523193
smeared σ=1.0,4,4,-141.8959046727618
smeared σ=1.3,1,1,-25.34246824433193
smeared σ=1.3,2,1,-26.093966022305548
smeared σ=1.3,2,2,30.931713454865534
smeared σ=1.3,3,1,-86.82267590920418
smeared σ=1.3,3,2,36.51916749836211
smeared σ=1.3,3,3,-76.28987564865082
smeared σ=1.3,4,1,0.15955346827492242
smeared σ=1.3,4,2,160.87741828653907
smeared σ=1.3,4,3,66.65252141672013
smeared σ=1.3,4,4,-140.16242784856192
smeared σ=1.6,1,1,-25.947846203560914
smeared σ=1.6,2,1,-25.874521122237816
smeared σ=1.6,2,2,28.630737626239856
smeared σ=1.6,3,1,-86.22957155611225
smeared σ=1.6,3,2,34.65140373794453
smeared σ=1.6,3,3,-78.84116304103723
smeared σ=1.6,4,1,-0.09110180575136076
smeared σ=1.6,4,2,161.2436701669082
smeared σ=1.6,4,3,69.72615589324573
smeared σ=1.6,4,4,-135.91378358449043
smeared σ=2.0,1,1,-27.745624975917238
smeared σ=2.0,2,1,-25.858506727859528
smeared σ=2.0,2,2,26.329272388995893
smeared σ=2.0,3,1,-84.28518787079354
smeared σ=2.0,3,2,32.24957499163019
smeared σ=2.0,3,3,-82.70346183891766
smeared σ=2.0,4,1,-1.5064156201135175
smeared σ=2.0,4,2,162.36922058744008
smeared σ=2.0,4,3,74.70792604813686
smeared σ=2.0,4,4,-129.59929358375635
smeared σ=2.5,1,1,-29.509957544564855
smeared σ=2.5,2,1,-26.33699122211311
smeared σ=2.5,2,2,26.15579575892224
smeared σ=2.5,3,1,-83.84165004477062
smeared σ=2.5,3,2,31.343314878628334
smeared σ=2.5,3,3,-85.03765114916976
smeared σ=2.5,4,1,-3.049375079368354
smeared σ=2.5,4,2,163.531852110789
smeared σ=2.5,4,3,79.1223016805394
smeared σ=2.5,4,4,-125.04500035097236
smeared σ=3.0,1,1,-29.855739819862077
smeared σ=3.0,2,1,-26.78778722014958
smeared σ=3.0,2,2,27.367371380434005
smeared σ=3.0,3,1,-82.3743744898685
smeared σ=3.0,3,2,32.01344128828634
smeared σ=3.0,3,3,-85.68327940113011
smeared σ=3.0,4,1,-3.9527887670593893
smeared σ=3.0,4,2,163.7175941156214
smeared σ=3.0,4,3,81.48741340196638
smeared σ=3.0,4,4,-123.17067996608932
