T_K,p_bar,N_per_cell_abs,N_per_cell_exc,mmol_per_g_abs,mmol_per_g_exc,picard_iters,converged
298.0,1.00000e-03,2.60349e-02,2.60303e-02,0.02008,0.02008,800,False
298.0,1.43845e-03,3.71590e-02,3.71525e-02,0.02867,0.02866,800,False
298.0,2.06914e-03,5.28642e-02,5.28549e-02,0.04078,0.04077,800,False
298.0,2.97635e-03,7.48455e-02,7.48320e-02,0.05774,0.05773,800,False
298.0,4.28133e-03,1.05324e-01,1.05304e-01,0.08125,0.08124,800,False
298.0,6.15848e-03,1.46897e-01,1.46869e-01,0.11332,0.11330,800,False
298.0,8.85867e-03,2.02499e-01,2.02459e-01,0.15622,0.15619,299,True
298.0,1.27427e-02,2.74941e-01,2.74884e-01,0.21210,0.21206,800,False
298.0,1.83298e-02,3.50095e-01,3.50012e-01,0.27008,0.27002,2000,False
298.0,2.63665e-02,4.77045e-01,4.76926e-01,0.36802,0.36792,800,False
298.0,3.79269e-02,6.05666e-01,6.05494e-01,0.46724,0.46711,800,False
298.0,5.45559e-02,7.48389e-01,7.48142e-01,0.57735,0.57715,2000,False
298.0,7.84760e-02,8.13387e-01,8.13032e-01,0.62749,0.62721,2000,False
298.0,1.12884e-01,1.05284e+00,1.05233e+00,0.81221,0.81182,2000,False
298.0,1.62378e-01,1.18078e+00,1.18004e+00,0.91091,0.91034,2000,False
298.0,2.33572e-01,1.34111e+00,1.34005e+00,1.03460,1.03378,2000,False
298.0,3.35982e-01,1.46842e+00,1.46689e+00,1.13281,1.13163,2000,False
298.0,4.83293e-01,1.55941e+00,1.55722e+00,1.20301,1.20132,2000,False
298.0,6.95193e-01,1.67878e+00,1.67563e+00,1.29510,1.29266,2000,False
298.0,1.00000e+00,1.76536e+00,1.76083e+00,1.36189,1.35839,2000,False
273.0,1.00000e-03,9.20916e-02,9.20866e-02,0.07104,0.07104,2000,False
273.0,1.43845e-03,1.26199e-01,1.26192e-01,0.09736,0.09735,2000,False
273.0,2.06914e-03,1.78603e-01,1.78592e-01,0.13778,0.13778,800,False
273.0,2.97635e-03,2.44057e-01,2.44042e-01,0.18828,0.18827,800,False
273.0,4.28133e-03,3.27703e-01,3.27682e-01,0.25281,0.25279,800,False
273.0,6.15848e-03,4.30761e-01,4.30731e-01,0.33231,0.33229,800,False
273.0,8.85867e-03,5.52522e-01,5.52478e-01,0.42624,0.42621,800,False
273.0,1.27427e-02,6.90039e-01,6.89976e-01,0.53233,0.53228,800,False
273.0,1.83298e-02,8.38388e-01,8.38297e-01,0.64677,0.64670,2000,False
273.0,2.63665e-02,9.91468e-01,9.91337e-01,0.76487,0.76477,2000,False
273.0,3.79269e-02,1.14262e+00,1.14243e+00,0.88147,0.88133,2000,False
273.0,5.45559e-02,1.28547e+00,1.28520e+00,0.99168,0.99147,2000,False
273.0,7.84760e-02,1.41786e+00,1.41747e+00,1.09381,1.09351,2000,False
273.0,1.12884e-01,1.53338e+00,1.53282e+00,1.18293,1.18250,2000,False
273.0,1.62378e-01,1.64000e+00,1.63920e+00,1.26518,1.26456,2000,False
273.0,2.33572e-01,1.73038e+00,1.72923e+00,1.33490,1.33401,2000,False
273.0,3.35982e-01,1.81206e+00,1.81039e+00,1.39791,1.39663,2000,False
273.0,4.83293e-01,1.88325e+00,1.88086e+00,1.45284,1.45099,2000,False
273.0,6.95193e-01,1.94701e+00,1.94357e+00,1.50202,1.49936,2000,False
273.0,1.00000e+00,2.00377e+00,1.99882e+00,1.54581,1.54199,2000,False
323.0,1.00000e-03,8.65401e-03,8.64983e-03,0.00668,0.00667,800,False
323.0,1.43845e-03,1.24156e-02,1.24096e-02,0.00958,0.00957,800,False
323.0,2.06914e-03,1.77932e-02,1.77846e-02,0.01373,0.01372,800,False
323.0,2.97635e-03,2.54587e-02,2.54463e-02,0.01964,0.01963,800,False
323.0,4.28133e-03,3.63439e-02,3.63260e-02,0.02804,0.02802,800,False
323.0,6.15848e-03,5.17167e-02,5.16909e-02,0.03990,0.03988,2000,False
323.0,8.85867e-03,7.32600e-02,7.32229e-02,0.05652,0.05649,800,False
323.0,1.27427e-02,1.03129e-01,1.03075e-01,0.07956,0.07952,800,False
323.0,1.83298e-02,1.43934e-01,1.43858e-01,0.11104,0.11098,800,False
323.0,2.63665e-02,1.98594e-01,1.98484e-01,0.15321,0.15312,800,False
323.0,3.79269e-02,2.64244e-01,2.64085e-01,0.20385,0.20373,2000,False
323.0,5.45559e-02,3.60128e-01,3.59899e-01,0.27782,0.27764,800,False
323.0,7.84760e-02,4.49557e-01,4.49229e-01,0.34681,0.34656,2000,False
323.0,1.12884e-01,5.97563e-01,5.97091e-01,0.46099,0.46063,2000,False
323.0,1.62378e-01,7.40036e-01,7.39356e-01,0.57090,0.57038,2000,False
323.0,2.33572e-01,8.90856e-01,8.89879e-01,0.68725,0.68650,800,False
323.0,3.35982e-01,1.04449e+00,1.04308e+00,0.80577,0.80469,800,False
323.0,4.83293e-01,1.19384e+00,1.19182e+00,0.92099,0.91943,2000,False
323.0,6.95193e-01,1.33437e+00,1.33146e+00,1.02940,1.02715,2000,False
323.0,1.00000e+00,1.46174e+00,1.45756e+00,1.12766,1.12443,800,False
