T_K,p_bar,state,mmol_per_g_abs,mmol_per_g_exc
298.0,1.00000e-03,closed,0.00888,0.00885
298.0,1.33352e-03,closed,0.01182,0.01178
298.0,1.77828e-03,closed,0.01573,0.01568
298.0,2.37137e-03,closed,0.02093,0.02085
298.0,3.16228e-03,closed,0.02781,0.02771
298.0,4.21697e-03,closed,0.03691,0.03678
298.0,5.62341e-03,closed,0.04892,0.04874
298.0,7.49894e-03,closed,0.06471,0.06448
298.0,1.00000e-02,closed,0.08541,0.08510
298.0,1.33352e-02,closed,0.11239,0.11198
298.0,1.77828e-02,closed,0.14737,0.14682
298.0,2.37137e-02,closed,0.19239,0.19166
298.0,3.16228e-02,closed,0.24987,0.24888
298.0,4.21697e-02,closed,0.32252,0.32122
298.0,5.62341e-02,closed,0.41337,0.41163
298.0,7.49894e-02,closed,0.52556,0.52324
298.0,1.00000e-01,closed,0.66220,0.65910
298.0,1.33352e-01,closed,0.82611,0.82197
298.0,1.77828e-01,closed,1.01950,1.01399
298.0,2.37137e-01,closed,1.24376,1.23640
298.0,3.16228e-01,closed,1.49911,1.48931
298.0,4.21697e-01,closed,1.78456,1.77148
298.0,5.62341e-01,closed,2.09781,2.08037
298.0,7.49894e-01,closed,2.43545,2.41219
298.0,1.00000e+00,closed,2.79323,2.76221
298.0,1.00000e-03,open,0.01004,0.01001
298.0,1.33352e-03,open,0.01337,0.01332
298.0,1.77828e-03,open,0.01778,0.01772
298.0,2.37137e-03,open,0.02363,0.02356
298.0,3.16228e-03,open,0.03138,0.03128
298.0,4.21697e-03,open,0.04161,0.04148
298.0,5.62341e-03,open,0.05509,0.05491
298.0,7.49894e-03,open,0.07278,0.07254
298.0,1.00000e-02,open,0.09590,0.09558
298.0,1.33352e-02,open,0.12595,0.12552
298.0,1.77828e-02,open,0.16476,0.16418
298.0,2.37137e-02,open,0.21452,0.21375
298.0,3.16228e-02,open,0.27777,0.27676
298.0,4.21697e-02,open,0.35740,0.35604
298.0,5.62341e-02,open,0.45653,0.45472
298.0,7.49894e-02,open,0.57843,0.57601
298.0,1.00000e-01,open,0.72626,0.72304
298.0,1.33352e-01,open,0.90289,0.89859
298.0,1.77828e-01,open,1.11053,1.10480
298.0,2.37137e-01,open,1.35050,1.34287
298.0,3.16228e-01,open,1.62300,1.61282
298.0,4.21697e-01,open,1.92694,1.91336
298.0,5.62341e-01,open,2.25996,2.24185
298.0,7.49894e-01,open,2.61856,2.59441
298.0,1.00000e+00,open,2.99836,2.96615
273.0,1.00000e-03,closed,0.02213,0.02210
273.0,1.33352e-03,closed,0.02939,0.02935
273.0,1.77828e-03,closed,0.03899,0.03893
273.0,2.37137e-03,closed,0.05164,0.05156
273.0,3.16228e-03,closed,0.06825,0.06814
273.0,4.21697e-03,closed,0.08996,0.08982
273.0,5.62341e-03,closed,0.11821,0.11802
273.0,7.49894e-03,closed,0.15471,0.15446
273.0,1.00000e-02,closed,0.20154,0.20120
273.0,1.33352e-02,closed,0.26107,0.26062
273.0,1.77828e-02,closed,0.33598,0.33538
273.0,2.37137e-02,closed,0.42917,0.42837
273.0,3.16228e-02,closed,0.54359,0.54252
273.0,4.21697e-02,closed,0.68206,0.68063
273.0,5.62341e-02,closed,0.84703,0.84512
273.0,7.49894e-02,closed,1.04028,1.03774
273.0,1.00000e-01,closed,1.26269,1.25931
273.0,1.33352e-01,closed,1.51404,1.50952
273.0,1.77828e-01,closed,1.79290,1.78688
273.0,2.37137e-01,closed,2.09673,2.08870
273.0,3.16228e-01,closed,2.42206,2.41136
273.0,4.21697e-01,closed,2.76478,2.75050
273.0,5.62341e-01,closed,3.12045,3.10141
273.0,7.49894e-01,closed,3.48469,3.45931
273.0,1.00000e+00,closed,3.85338,3.81952
273.0,1.00000e-03,open,0.02506,0.02502
273.0,1.33352e-03,open,0.03325,0.03320
273.0,1.77828e-03,open,0.04406,0.04400
273.0,2.37137e-03,open,0.05827,0.05819
273.0,3.16228e-03,open,0.07689,0.07678
273.0,4.21697e-03,open,0.10116,0.10101
273.0,5.62341e-03,open,0.13261,0.13242
273.0,7.49894e-03,open,0.17311,0.17284
273.0,1.00000e-02,open,0.22483,0.22448
273.0,1.33352e-02,open,0.29030,0.28983
273.0,1.77828e-02,open,0.37232,0.37169
273.0,2.37137e-02,open,0.47390,0.47307
273.0,3.16228e-02,open,0.59809,0.59697
273.0,4.21697e-02,open,0.74777,0.74628
273.0,5.62341e-02,open,0.92540,0.92342
273.0,7.49894e-02,open,1.13276,1.13013
273.0,1.00000e-01,open,1.37066,1.36715
273.0,1.33352e-01,open,1.63881,1.63412
273.0,1.77828e-01,open,1.93569,1.92944
273.0,2.37137e-01,open,2.25871,2.25037
273.0,3.16228e-01,open,2.60428,2.59316
273.0,4.21697e-01,open,2.96815,2.95332
273.0,5.62341e-01,open,3.34570,3.32593
273.0,7.49894e-01,open,3.73228,3.70592
273.0,1.00000e+00,open,4.12345,4.08829
323.0,1.00000e-03,closed,0.00409,0.00406
323.0,1.33352e-03,closed,0.00545,0.00541
323.0,1.77828e-03,closed,0.00726,0.00721
323.0,2.37137e-03,closed,0.00967,0.00960
323.0,3.16228e-03,closed,0.01287,0.01278
323.0,4.21697e-03,closed,0.01713,0.01701
323.0,5.62341e-03,closed,0.02278,0.02262
323.0,7.49894e-03,closed,0.03027,0.03005
323.0,1.00000e-02,closed,0.04017,0.03989
323.0,1.33352e-02,closed,0.05324,0.05285
323.0,1.77828e-02,closed,0.07042,0.06991
323.0,2.37137e-02,closed,0.09292,0.09224
323.0,3.16228e-02,closed,0.12225,0.12134
323.0,4.21697e-02,closed,0.16025,0.15904
323.0,5.62341e-02,closed,0.20913,0.20752
323.0,7.49894e-02,closed,0.27148,0.26933
323.0,1.00000e-01,closed,0.35023,0.34737
323.0,1.33352e-01,closed,0.44861,0.44479
323.0,1.77828e-01,closed,0.56994,0.56486
323.0,2.37137e-01,closed,0.71752,0.71074
323.0,3.16228e-01,closed,0.89428,0.88523
323.0,4.21697e-01,closed,1.10249,1.09043
323.0,5.62341e-01,closed,1.34348,1.32739
323.0,7.49894e-01,closed,1.61736,1.59590
323.0,1.00000e+00,closed,1.92287,1.89426
323.0,1.00000e-03,open,0.00461,0.00458
323.0,1.33352e-03,open,0.00615,0.00611
323.0,1.77828e-03,open,0.00819,0.00813
323.0,2.37137e-03,open,0.01090,0.01083
323.0,3.16228e-03,open,0.01451,0.01442
323.0,4.21697e-03,open,0.01930,0.01918
323.0,5.62341e-03,open,0.02566,0.02549
323.0,7.49894e-03,open,0.03407,0.03385
323.0,1.00000e-02,open,0.04518,0.04488
