T_K,p_bar,model,N_per_cell_abs,N_per_cell_exc,mmol_per_g_abs,mmol_per_g_exc
298.0,1.00000e-03,henry,1.15651e-02,1.14925e-02,0.00892,0.00887
298.0,1.33352e-03,henry,1.54224e-02,1.53256e-02,0.01190,0.01182
298.0,1.77828e-03,henry,2.05661e-02,2.04370e-02,0.01587,0.01577
298.0,2.37137e-03,henry,2.74253e-02,2.72531e-02,0.02116,0.02102
298.0,3.16228e-03,henry,3.65722e-02,3.63426e-02,0.02821,0.02804
298.0,4.21697e-03,henry,4.87698e-02,4.84636e-02,0.03762,0.03739
298.0,5.62341e-03,henry,6.50356e-02,6.46273e-02,0.05017,0.04986
298.0,7.49894e-03,henry,8.67263e-02,8.61819e-02,0.06691,0.06649
298.0,1.00000e-02,henry,1.15651e-01,1.14925e-01,0.08922,0.08866
298.0,1.33352e-02,henry,1.54224e-01,1.53256e-01,0.11898,0.11823
298.0,1.77828e-02,henry,2.05661e-01,2.04370e-01,0.15866,0.15766
298.0,2.37137e-02,henry,2.74253e-01,2.72531e-01,0.21157,0.21024
298.0,3.16228e-02,henry,3.65722e-01,3.63426e-01,0.28214,0.28037
298.0,4.21697e-02,henry,4.87698e-01,4.84636e-01,0.37623,0.37387
298.0,5.62341e-02,henry,6.50356e-01,6.46273e-01,0.50172,0.49857
298.0,7.49894e-02,henry,8.67263e-01,8.61819e-01,0.66905,0.66485
298.0,1.00000e-01,henry,1.15651e+00,1.14925e+00,0.89219,0.88659
298.0,1.33352e-01,henry,1.54224e+00,1.53256e+00,1.18976,1.18229
298.0,1.77828e-01,henry,2.05661e+00,2.04370e+00,1.58657,1.57661
298.0,2.37137e-01,henry,2.74253e+00,2.72531e+00,2.11572,2.10244
298.0,3.16228e-01,henry,3.65722e+00,3.63426e+00,2.82136,2.80365
298.0,4.21697e-01,henry,4.87698e+00,4.84636e+00,3.76235,3.73873
298.0,5.62341e-01,henry,6.50356e+00,6.46273e+00,5.01717,4.98568
298.0,7.49894e-01,henry,8.67263e+00,8.61819e+00,6.69050,6.64850
298.0,1.00000e+00,henry,1.15651e+01,1.14925e+01,8.92193,8.86592
298.0,1.00000e-03,langmuir,1.15111e-02,1.14709e-02,0.00888,0.00885
298.0,1.33352e-03,langmuir,1.53266e-02,1.52730e-02,0.01182,0.01178
298.0,1.77828e-03,langmuir,2.03966e-02,2.03251e-02,0.01573,0.01568
298.0,2.37137e-03,langmuir,2.71259e-02,2.70305e-02,0.02093,0.02085
298.0,3.16228e-03,langmuir,3.60441e-02,3.59170e-02,0.02781,0.02771
298.0,4.21697e-03,langmuir,4.78409e-02,4.76713e-02,0.03691,0.03678
298.0,5.62341e-03,langmuir,6.34067e-02,6.31806e-02,0.04892,0.04874
298.0,7.49894e-03,langmuir,8.38817e-02,8.35802e-02,0.06471,0.06448
298.0,1.00000e-02,langmuir,1.10709e-01,1.10307e-01,0.08541,0.08510
298.0,1.33352e-02,langmuir,1.45689e-01,1.45153e-01,0.11239,0.11198
298.0,1.77828e-02,langmuir,1.91031e-01,1.90316e-01,0.14737,0.14682
298.0,2.37137e-02,langmuir,2.49393e-01,2.48440e-01,0.19239,0.19166
298.0,3.16228e-02,langmuir,3.23891e-01,3.22619e-01,0.24987,0.24888
298.0,4.21697e-02,langmuir,4.18074e-01,4.16378e-01,0.32252,0.32122
298.0,5.62341e-02,langmuir,5.35838e-01,5.33578e-01,0.41337,0.41163
298.0,7.49894e-02,langmuir,6.81268e-01,6.78253e-01,0.52556,0.52324
298.0,1.00000e-01,langmuir,8.58389e-01,8.54369e-01,0.66220,0.65910
298.0,1.33352e-01,langmuir,1.07085e+00,1.06549e+00,0.82611,0.82197
298.0,1.77828e-01,langmuir,1.32154e+00,1.31439e+00,1.01950,1.01399
298.0,2.37137e-01,langmuir,1.61223e+00,1.60270e+00,1.24376,1.23640
298.0,3.16228e-01,langmuir,1.94324e+00,1.93053e+00,1.49911,1.48931
298.0,4.21697e-01,langmuir,2.31325e+00,2.29630e+00,1.78456,1.77148
298.0,5.62341e-01,langmuir,2.71930e+00,2.69670e+00,2.09781,2.08037
298.0,7.49894e-01,langmuir,3.15697e+00,3.12683e+00,2.43545,2.41219
298.0,1.00000e+00,langmuir,3.62075e+00,3.58055e+00,2.79323,2.76221
273.0,1.00000e-03,henry,2.90472e-02,2.89680e-02,0.02241,0.02235
273.0,1.33352e-03,henry,3.87351e-02,3.86294e-02,0.02988,0.02980
273.0,1.77828e-03,henry,5.16541e-02,5.15131e-02,0.03985,0.03974
273.0,2.37137e-03,henry,6.88818e-02,6.86939e-02,0.05314,0.05299
273.0,3.16228e-03,henry,9.18554e-02,9.16048e-02,0.07086,0.07067
273.0,4.21697e-03,henry,1.22491e-01,1.22157e-01,0.09450,0.09424
273.0,5.62341e-03,henry,1.63344e-01,1.62899e-01,0.12601,0.12567
273.0,7.49894e-03,henry,2.17823e-01,2.17229e-01,0.16804,0.16758
273.0,1.00000e-02,henry,2.90472e-01,2.89680e-01,0.22408,0.22347
273.0,1.33352e-02,henry,3.87351e-01,3.86294e-01,0.29882,0.29801
273.0,1.77828e-02,henry,5.16541e-01,5.15131e-01,0.39849,0.39740
273.0,2.37137e-02,henry,6.88818e-01,6.86939e-01,0.53139,0.52994
273.0,3.16228e-02,henry,9.18554e-01,9.16048e-01,0.70862,0.70669
273.0,4.21697e-02,henry,1.22491e+00,1.22157e+00,0.94496,0.94238
273.0,5.62341e-02,henry,1.63344e+00,1.62899e+00,1.26012,1.25668
273.0,7.49894e-02,henry,2.17823e+00,2.17229e+00,1.68040,1.67581
273.0,1.00000e-01,henry,2.90472e+00,2.89680e+00,2.24085,2.23473
273.0,1.33352e-01,henry,3.87351e+00,3.86294e+00,2.98822,2.98007
273.0,1.77828e-01,henry,5.16541e+00,5.15131e+00,3.98485,3.97398
273.0,2.37137e-01,henry,6.88818e+00,6.86939e+00,5.31389,5.29939
273.0,3.16228e-01,henry,9.18554e+00,9.16048e+00,7.08618,7.06685
273.0,4.21697e-01,henry,1.22491e+01,1.22157e+01,9.44958,9.42380
273.0,5.62341e-01,henry,1.63344e+01,1.62899e+01,12.60121,12.56683
273.0,7.49894e-01,henry,2.17823e+01,2.17229e+01,16.80399,16.75814
273.0,1.00000e+00,henry,2.90472e+01,2.89680e+01,22.40848,22.34734
273.0,1.00000e-03,langmuir,2.86879e-02,2.86441e-02,0.02213,0.02210
273.0,1.33352e-03,langmuir,3.81021e-02,3.80436e-02,0.02939,0.02935
273.0,1.77828e-03,langmuir,5.05421e-02,5.04640e-02,0.03899,0.03893
273.0,2.37137e-03,langmuir,6.69353e-02,6.68313e-02,0.05164,0.05156
273.0,3.16228e-03,langmuir,8.84636e-02,8.83248e-02,0.06825,0.06814
273.0,4.21697e-03,langmuir,1.16614e-01,1.16429e-01,0.08996,0.08982
273.0,5.62341e-03,langmuir,1.53228e-01,1.52981e-01,0.11821,0.11802
273.0,7.49894e-03,langmuir,2.00550e-01,2.00221e-01,0.15471,0.15446
273.0,1.00000e-02,langmuir,2.61247e-01,2.60808e-01,0.20154,0.20120
273.0,1.33352e-02,langmuir,3.38413e-01,3.37828e-01,0.26107,0.26062
273.0,1.77828e-02,langmuir,4.35522e-01,4.34742e-01,0.33598,0.33538
273.0,2.37137e-02,langmuir,5.56318e-01,5.55277e-01,0.42917,0.42837
273.0,3.16228e-02,langmuir,7.04632e-01,7.03244e-01,0.54359,0.54252
273.0,4.21697e-02,langmuir,8.84127e-01,8.82276e-01,0.68206,0.68063
273.0,5.62341e-02,langmuir,1.09797e+00,1.09550e+00,0.84703,0.84512
273.0,7.49894e-02,langmuir,1.34848e+00,1.34518e+00,1.04028,1.03774
273.0,1.00000e-01,langmuir,1.63678e+00,1.63239e+00,1.26269,1.25931
273.0,1.33352e-01,langmuir,1.96258e+00,1.95673e+00,1.51404,1.50952
273.0,1.77828e-01,langmuir,2.32406e+00,2.31626e+00,1.79290,1.78688
273.0,2.37137e-01,langmuir,2.71791e+00,2.70750e+00,2.09673,2.08870
273.0,3.16228e-01,langmuir,3.13962e+00,3.12575e+00,2.42206,2.41136
273.0,4.21697e-01,langmuir,3.58387e+00,3.56536e+00,2.76478,2.75050
273.0,5.62341e-01,langmuir,4.04492e+00,4.02024e+00,3.12045,3.10141
273.0,7.49894e-01,langmuir,4.51707e+00,4.48416e+00,3.48469,3.45931
273.0,1.00000e+00,langmuir,4.99498e+00,4.95110e+00,3.85338,3.81952
323.0,1.00000e-03,henry,5.31044e-03,5.24346e-03,0.00410,0.00405
323.0,1.33352e-03,henry,7.08159e-03,6.99227e-03,0.00546,0.00539
323.0,1.77828e-03,henry,9.44345e-03,9.32435e-03,0.00729,0.00719
323.0,2.37137e-03,henry,1.25930e-02,1.24342e-02,0.00971,0.00959
323.0,3.16228e-03,henry,1.67931e-02,1.65813e-02,0.01296,0.01279
323.0,4.21697e-03,henry,2.23940e-02,2.21115e-02,0.01728,0.01706
323.0,5.62341e-03,henry,2.98628e-02,2.94862e-02,0.02304,0.02275
323.0,7.49894e-03,henry,3.98227e-02,3.93204e-02,0.03072,0.03033
323.0,1.00000e-02,henry,5.31044e-02,5.24346e-02,0.04097,0.04045
323.0,1.33352e-02,henry,7.08159e-02,6.99227e-02,0.05463,0.05394
323.0,1.77828e-02,henry,9.44345e-02,9.32435e-02,0.07285,0.07193
323.0,2.37137e-02,henry,1.25930e-01,1.24342e-01,0.09715,0.09592
323.0,3.16228e-02,henry,1.67931e-01,1.65813e-01,0.12955,0.12792
323.0,4.21697e-02,henry,2.23940e-01,2.21115e-01,0.17276,0.17058
323.0,5.62341e-02,henry,2.98628e-01,2.94862e-01,0.23038,0.22747
323.0,7.49894e-02,henry,3.98227e-01,3.93204e-01,0.30721,0.30334
323.0,1.00000e-01,henry,5.31044e-01,5.24346e-01,0.40967,0.40451
323.0,1.33352e-01,henry,7.08159e-01,6.99227e-01,0.54631,0.53942
323.0,1.77828e-01,henry,9.44345e-01,9.32435e-01,0.72852,0.71933
323.0,2.37137e-01,henry,1.25930e+00,1.24342e+00,0.97149,0.95924
323.0,3.16228e-01,henry,1.67931e+00,1.65813e+00,1.29550,1.27916
323.0,4.21697e-01,henry,2.23940e+00,2.21115e+00,1.72758,1.70579
323.0,5.62341e-01,henry,2.98628e+00,2.94862e+00,2.30377,2.27471
323.0,7.49894e-01,henry,3.98227e+00,3.93204e+00,3.07212,3.03338
323.0,1.00000e+00,henry,5.31044e+00,5.24346e+00,4.09674,4.04507
323.0,1.00000e-03,langmuir,5.29970e-03,5.26262e-03,0.00409,0.00406
323.0,1.33352e-03,langmuir,7.06252e-03,7.01306e-03,0.00545,0.00541
323.0,1.77828e-03,langmuir,9.40961e-03,9.34366e-03,0.00726,0.00721
323.0,2.37137e-03,langmuir,1.25330e-02,1.24451e-02,0.00967,0.00960
323.0,3.16228e-03,langmuir,1.66868e-02,1.65695e-02,0.01287,0.01278
323.0,4.21697e-03,langmuir,2.22058e-02,2.20494e-02,0.01713,0.01701
323.0,5.62341e-03,langmuir,2.95303e-02,2.93218e-02,0.02278,0.02262
323.0,7.49894e-03,langmuir,3.92364e-02,3.89583e-02,0.03027,0.03005
323.0,1.00000e-02,langmuir,5.20731e-02,5.17022e-02,0.04017,0.03989
323.0,1.33352e-02,langmuir,6.90078e-02,6.85133e-02,0.05324,0.05285
323.0,1.77828e-02,langmuir,9.12778e-02,9.06182e-02,0.07042,0.06991
323.0,2.37137e-02,langmuir,1.20447e-01,1.19568e-01,0.09292,0.09224
323.0,3.16228e-02,langmuir,1.58466e-01,1.57293e-01,0.12225,0.12134
323.0,4.21697e-02,langmuir,2.07723e-01,2.06159e-01,0.16025,0.15904
323.0,5.62341e-02,langmuir,2.71084e-01,2.68999e-01,0.20913,0.20752
323.0,7.49894e-02,langmuir,3.51905e-01,3.49124e-01,0.27148,0.26933
323.0,1.00000e-01,langmuir,4.53992e-01,4.50283e-01,0.35023,0.34737
323.0,1.33352e-01,langmuir,5.81509e-01,5.76563e-01,0.44861,0.44479
323.0,1.77828e-01,langmuir,7.38795e-01,7.32200e-01,0.56994,0.56486
323.0,2.37137e-01,langmuir,9.30097e-01,9.21302e-01,0.71752,0.71074
323.0,3.16228e-01,langmuir,1.15922e+00,1.14749e+00,0.89428,0.88523
323.0,4.21697e-01,langmuir,1.42911e+00,1.41347e+00,1.10249,1.09043
323.0,5.62341e-01,langmuir,1.74150e+00,1.72065e+00,1.34348,1.32739
323.0,7.49894e-01,langmuir,2.09652e+00,2.06871e+00,1.61736,1.59590
323.0,1.00000e+00,langmuir,2.49254e+00,2.45545e+00,1.92287,1.89426
