T_K,strain_pct,p_bar,mmol_per_g_abs,N_per_cell_abs,is_omega_min
298.0,0.0,1.00000e-03,0.00888,1.15111e-02,1
298.0,0.0,1.33352e-03,0.01182,1.53266e-02,1
298.0,0.0,1.77828e-03,0.01573,2.03966e-02,1
298.0,0.0,2.37137e-03,0.02093,2.71259e-02,1
298.0,0.0,3.16228e-03,0.02781,3.60441e-02,1
298.0,0.0,4.21697e-03,0.03691,4.78409e-02,1
298.0,0.0,5.62341e-03,0.04892,6.34067e-02,1
298.0,0.0,7.49894e-03,0.06471,8.38817e-02,1
298.0,0.0,1.00000e-02,0.08541,1.10709e-01,1
298.0,0.0,1.33352e-02,0.11239,1.45689e-01,1
298.0,0.0,1.77828e-02,0.14737,1.91031e-01,1
298.0,0.0,2.37137e-02,0.19239,2.49393e-01,1
298.0,0.0,3.16228e-02,0.24987,3.23891e-01,1
298.0,0.0,4.21697e-02,0.32252,4.18074e-01,1
298.0,0.0,5.62341e-02,0.41337,5.35838e-01,1
298.0,0.0,7.49894e-02,0.52556,6.81268e-01,1
298.0,0.0,1.00000e-01,0.66220,8.58389e-01,1
298.0,0.0,1.33352e-01,0.82611,1.07085e+00,1
298.0,0.0,1.77828e-01,1.01950,1.32154e+00,1
298.0,0.0,2.37137e-01,1.24376,1.61223e+00,1
298.0,0.0,3.16228e-01,1.49911,1.94324e+00,1
298.0,0.0,4.21697e-01,1.78456,2.31325e+00,1
298.0,0.0,5.62341e-01,2.09781,2.71930e+00,1
298.0,0.0,7.49894e-01,2.43545,3.15697e+00,1
298.0,0.0,1.00000e+00,2.79323,3.62075e+00,1
298.0,0.5,1.00000e-03,0.00952,1.23429e-02,0
298.0,0.5,1.33352e-03,0.01268,1.64313e-02,0
298.0,0.5,1.77828e-03,0.01687,2.18618e-02,0
298.0,0.5,2.37137e-03,0.02242,2.90658e-02,0
298.0,0.5,3.16228e-03,0.02978,3.86071e-02,0
298.0,0.5,4.21697e-03,0.03951,5.12173e-02,0
298.0,0.5,5.62341e-03,0.05233,6.78388e-02,0
298.0,0.5,7.49894e-03,0.06918,8.96731e-02,0
298.0,0.5,1.00000e-02,0.09121,1.18234e-01,0
298.0,0.5,1.33352e-02,0.11988,1.55401e-01,0
298.0,0.5,1.77828e-02,0.15696,2.03464e-01,0
298.0,0.5,2.37137e-02,0.20456,2.65161e-01,0
298.0,0.5,3.16228e-02,0.26513,3.43676e-01,0
298.0,0.5,4.21697e-02,0.34145,4.42611e-01,0
298.0,0.5,5.62341e-02,0.43656,5.65892e-01,0
298.0,0.5,7.49894e-02,0.55360,7.17604e-01,0
298.0,0.5,1.00000e-01,0.69566,9.01751e-01,0
298.0,0.5,1.33352e-01,0.86551,1.12193e+00,0
298.0,0.5,1.77828e-01,1.06535,1.38097e+00,0
298.0,0.5,2.37137e-01,1.29646,1.68054e+00,0
298.0,0.5,3.16228e-01,1.55898,2.02085e+00,0
298.0,0.5,4.21697e-01,1.85181,2.40043e+00,0
298.0,0.5,5.62341e-01,2.17256,2.81621e+00,0
298.0,0.5,7.49894e-01,2.51776,3.26367e+00,0
298.0,0.5,1.00000e+00,2.88312,3.73728e+00,0
298.0,1.0,1.00000e-03,0.01004,1.30160e-02,0
298.0,1.0,1.33352e-03,0.01337,1.73249e-02,0
298.0,1.0,1.77828e-03,0.01778,2.30465e-02,0
298.0,1.0,2.37137e-03,0.02363,3.06336e-02,0
298.0,1.0,3.16228e-03,0.03138,4.06772e-02,0
298.0,1.0,4.21697e-03,0.04161,5.39429e-02,0
298.0,1.0,5.62341e-03,0.05509,7.14148e-02,0
298.0,1.0,7.49894e-03,0.07278,9.43457e-02,0
298.0,1.0,1.00000e-02,0.09590,1.24310e-01,0
298.0,1.0,1.33352e-02,0.12595,1.63259e-01,0
298.0,1.0,1.77828e-02,0.16476,2.13568e-01,0
298.0,1.0,2.37137e-02,0.21452,2.78071e-01,0
298.0,1.0,3.16228e-02,0.27777,3.60067e-01,0
298.0,1.0,4.21697e-02,0.35740,4.63285e-01,0
298.0,1.0,5.62341e-02,0.45653,5.91787e-01,0
298.0,1.0,7.49894e-02,0.57843,7.49792e-01,0
298.0,1.0,1.00000e-01,0.72626,9.41424e-01,0
298.0,1.0,1.33352e-01,0.90289,1.17037e+00,0
