dF0_K,eps_assoc_K,T_K,p_bar,N_mmol_g
100.0,0.0,273.0,0.001,0.022131310835488274
100.0,0.0,273.0,0.0013130324344878836,0.028949372234534893
100.0,0.0,273.0,0.0017240541740171785,0.03782591856536259
100.0,0.0,273.0,0.0022637390492987737,0.04935468389092359
100.0,0.0,273.0,0.002972362794946059,0.06428324279873578
100.0,0.0,273.0,0.003902808756829234,0.08354272314760323
100.0,0.0,273.0,0.00512451448332012,0.10827778623038033
100.0,0.0,273.0,0.0067286537276022365,0.13987372775547133
100.0,0.0,273.0,0.008834940584779547,0.1799761264963608
100.0,0.0,273.0,0.01160056354458889,0.23049689215275743
100.0,0.0,273.0,0.015231916192382951,0.293599036823163
100.0,0.0,273.0,0.020000000000000004,0.3716514941650781
100.0,0.0,273.0,0.02288290047345013,0.41653175194612924
100.0,0.0,273.0,0.026181356703891212,0.4659805123174714
100.0,0.0,273.0,0.029955268985751946,0.5202975044819111
100.0,0.0,273.0,0.03427317194281946,0.5797725178811468
100.0,0.0,273.0,0.03921347912384905,0.6446796211081207
100.0,0.0,273.0,0.04486590700043761,0.7152710392317974
100.0,0.0,273.0,0.051333104227104166,0.7917708659132715
100.0,0.0,273.0,0.05873251575110334,1.1831706059082934
100.0,0.0,273.0,0.06719851562439198,1.301864542547504
100.0,0.0,273.0,0.07688484724982726,1.4288068027625374
100.0,0.0,273.0,0.08796741537671066,1.5640294498356284
100.0,0.0,273.0,0.10064748054859585,1.7074919801601733
100.0,0.0,273.0,0.11515531401485132,1.8590795062235559
100.0,0.0,273.0,0.131754379479537,2.0186030344470556
100.0,0.0,273.0,0.15074611762857124,2.185801873099177
100.0,0.0,273.0,0.1724754203226801,2.3603480702116935
100.0,0.0,273.0,0.1973368938680183,2.541852652739086
100.0,0.0,273.0,0.22578202510608278,2.7298733311089167
100.0,0.0,273.0,0.2583273804598255,2.92392325981179
100.0,0.0,273.0,0.2955639868314636,3.1234804115295605
100.0,0.0,273.0,0.33816806471002536,3.3279971298932516
100.0,0.0,273.0,0.38691330840293764,3.536909468664306
100.0,0.0,273.0,0.4426849364018869,3.7496459929478654
100.0,0.0,273.0,0.5064957670389989,3.9656357990861903
100.0,0.0,273.0,0.5795046113688597,4.18431559289246
100.0,0.0,273.0,0.6630373172929507,4.405135742145047
100.0,0.0,273.0,0.7586108470898982,4.627565283427567
100.0,0.0,273.0,0.8679608256018917,4.851095913339555
100.0,0.0,273.0,0.9930730593550847,5.075245030050398
100.0,0.0,273.0,1.1362195990043518,5.2995579146766145
100.0,0.0,273.0,1.3,5.523609155052923
100.0,0.0,298.0,0.001,0.008880251645204775
100.0,0.0,298.0,0.0013130324344878836,0.011643170199037975
100.0,0.0,298.0,0.0017240541740171785,0.015258967676562344
100.0,0.0,298.0,0.0022637390492987737,0.019986203775570265
100.0,0.0,298.0,0.002972362794946059,0.026158605416207133
100.0,0.0,298.0,0.003902808756829234,0.034204795336771496
100.0,0.0,298.0,0.00512451448332012,0.044671860095051995
100.0,0.0,298.0,0.0067286537276022365,0.05825269377960018
100.0,0.0,298.0,0.008834940584779547,0.0758165040988911
100.0,0.0,298.0,0.01160056354458889,0.09844104669514005
100.0,0.0,298.0,0.015231916192382951,0.1274440392139399
100.0,0.0,298.0,0.020000000000000004,0.1644098137010029
100.0,0.0,298.0,0.02288290047345013,0.18619195404966768
100.0,0.0,298.0,0.026181356703891212,0.21062450094655738
100.0,0.0,298.0,0.029955268985751946,0.23797549165738532
100.0,0.0,298.0,0.03427317194281946,0.26852845162337446
100.0,0.0,298.0,0.03921347912384905,0.3025808722437244
100.0,0.0,298.0,0.04486590700043761,0.3404420993606053
100.0,0.0,298.0,0.051333104227104166,0.38243057499867905
100.0,0.0,298.0,0.05873251575110334,0.42887039067916294
100.0,0.0,298.0,0.06719851562439198,0.48008713370949785
100.0,0.0,298.0,0.07688484724982726,0.5364030381975208
100.0,0.0,298.0,0.08796741537671066,0.5981314891730317
100.0,0.0,298.0,0.10064748054859585,0.6655709691933561
100.0,0.0,298.0,0.11515531401485132,1.0011335727210788
100.0,0.0,298.0,0.131754379479537,1.1078926847672252
100.0,0.0,298.0,0.15074611762857124,1.2231083017720839
100.0,0.0,298.0,0.1724754203226801,1.346975956162758
100.0,0.0,298.0,0.1973368938680183,1.4796252436005188
100.0,0.0,298.0,0.22578202510608278,1.6211134267751979
100.0,0.0,298.0,0.2583273804598255,1.7714206870305849
100.0,0.0,298.0,0.2955639868314636,1.9304473327628722
100.0,0.0,298.0,0.33816806471002536,2.098013172357023
100.0,0.0,298.0,0.38691330840293764,2.273859134141577
100.0,0.0,298.0,0.4426849364018869,2.457651078961878
100.0,0.0,298.0,0.5064957670389989,2.648985617494307
100.0,0.0,298.0,0.5795046113688597,2.8473976293291123
100.0,0.0,298.0,0.6630373172929507,3.052369096399259
100.0,0.0,298.0,0.7586108470898982,3.2633388168618165
100.0,0.0,298.0,0.8679608256018917,3.4797125583242443
100.0,0.0,298.0,0.9930730593550847,3.7008732368361206
100.0,0.0,298.0,1.1362195990043518,3.9261907615888583
100.0,0.0,298.0,1.3,4.155031254147484
100.0,0.0,323.0,0.001,0.004088457822275885
100.0,0.0,323.0,0.0013130324344878836,0.005364893274511664
100.0,0.0,323.0,0.0017240541740171785,0.007038463566567826
100.0,0.0,323.0,0.0022637390492987737,0.009231749172257976
100.0,0.0,323.0,0.002972362794946059,0.012104475699483787
100.0,0.0,323.0,0.003902808756829234,0.015864290092336118
100.0,0.0,323.0,0.00512451448332012,0.020780337246225716
100.0,0.0,323.0,0.0067286537276022365,0.0272001489967417
100.0,0.0,323.0,0.008834940584779547,0.03557030834800592
100.0,0.0,323.0,0.01160056354458889,0.04646119041738749
100.0,0.0,323.0,0.015231916192382951,0.06059574956024219
100.0,0.0,323.0,0.020000000000000004,0.0788817559609667
100.0,0.0,323.0,0.02288290047345013,0.08979377097912297
100.0,0.0,323.0,0.026181356703891212,0.10215062769998101
100.0,0.0,323.0,0.029955268985751946,0.1161267029078234
100.0,0.0,323.0,0.03427317194281946,0.13191326127044736
100.0,0.0,323.0,0.03921347912384905,0.14971913268740403
100.0,0.0,323.0,0.04486590700043761,0.16977119008104458
100.0,0.0,323.0,0.051333104227104166,0.19231456915426487
