P_bar,N_abs_per_uc,N_exc_per_uc,N_abs_mmol_g,N_exc_mmol_g,iters,converged
0.0500,4.19127e-01,4.17284e-01,0.2258,0.2248,48,True
0.2200,1.68871e+00,1.68059e+00,0.9098,0.9054,61,True
0.3900,2.76638e+00,2.75195e+00,1.4904,1.4826,59,True
0.5600,3.69798e+00,3.67720e+00,1.9923,1.9811,53,True
0.7300,4.51543e+00,4.48830e+00,2.4328,2.4181,215,True
0.9000,5.18963e+00,5.15611e+00,2.7960,2.7779,800,False
1.0000,5.54401e+00,5.50672e+00,2.9869,2.9668,50,True
2.0000,8.24923e+00,8.17371e+00,4.4444,4.4037,83,True
3.0000,9.75091e+00,9.63617e+00,5.2534,5.1916,54,True
4.0000,1.09245e+01,1.07694e+01,5.8857,5.8022,53,True
5.0000,1.17274e+01,1.15309e+01,6.3183,6.2124,52,True
6.0000,1.23659e+01,1.21266e+01,6.6623,6.5334,800,False
7.0000,1.28750e+01,1.25917e+01,6.9366,6.7839,55,True
8.0000,1.33048e+01,1.29758e+01,7.1682,6.9909,52,True
9.0000,1.36898e+01,1.33136e+01,7.3756,7.1729,94,True
10.0000,1.40293e+01,1.36040e+01,7.5585,7.3294,50,True
15.0000,1.55403e+01,1.48331e+01,8.3725,7.9916,422,True
20.0000,1.70419e+01,1.59382e+01,9.1816,8.5869,73,True
25.0000,1.74052e+01,1.60804e+01,9.3773,8.6636,2000,False
30.0000,1.66485e+01,1.56643e+01,8.9696,8.4394,800,False
35.0000,2.48635e+01,1.46323e+01,13.3955,7.8834,74,True
40.0000,2.49051e+01,1.45888e+01,13.4180,7.8599,65,True
45.0000,2.49452e+01,1.45470e+01,13.4396,7.8374,107,True
50.0000,2.49839e+01,1.45068e+01,13.4604,7.8157,43,True
