T_K,P_bar,N_abs_mmol_g,N_exc_mmol_g
273.0,0.05,0.4675835814162332,0.4664991033095866
273.0,0.21999999999999997,1.7307713319433162,1.7259896915859785
273.0,0.38999999999999996,2.6316971159678273,2.6231973016193337
273.0,0.56,3.292000922815424,3.279760013488043
273.0,0.73,3.838976848834657,3.822986232226705
273.0,0.9,4.277288118231749,4.257522814425792
273.0,1.0,4.483843849854055,4.461841923391169
273.0,2.0,5.86310139362385,5.818391101870659
273.0,3.0,6.53352423839028,6.46534154117252
273.0,4.0,6.955575451794545,6.863069613941605
273.0,5.0,7.275976327936945,7.158211802146629
273.0,6.0,7.554402977219039,7.410315075899969
273.0,7.0,7.814003611195318,7.642425151549758
273.0,8.0,8.058935632821548,7.858528645668916
273.0,9.0,8.292329430125193,8.06154808372036
273.0,10.0,8.513440192386945,8.250480517443961
273.0,13.0,9.12264155262826,8.74844330098697
273.0,16.0,9.703975171553386,9.177302332840554
273.0,19.0,10.558841699367846,9.676555795701926
273.0,22.0,13.868027075149154,8.048091518693326
273.0,25.0,13.899554611098727,8.056710091498346
298.0,0.05,0.22581044965269928,0.2248174099500603
298.0,0.21999999999999997,0.9098178600412866,0.9054391588747782
298.0,0.38999999999999996,1.4904277425701034,1.4826491130695065
298.0,0.56,1.9923380046646806,1.9811450982298051
298.0,0.73,2.432751772245925,2.4181344592489693
298.0,0.9,2.795988177980858,2.777928531725444
298.0,1.0,2.986913327876428,2.966823200747651
298.0,2.0,4.444387154073154,4.403700211214985
298.0,3.0,5.253442294653982,5.191620885860201
298.0,4.0,5.885707268583255,5.802169235851814
298.0,5.0,6.318325399675486,6.212441355148965
298.0,6.0,6.662301093299615,6.533395588304853
298.0,7.0,6.936613690362581,6.783943572927348
298.0,8.0,7.168150402538719,6.990902357449287
298.0,9.0,7.375570559593173,7.17287940664555
298.0,10.0,7.558490453827433,7.329355263194933
298.0,13.0,8.054566883696646,7.738971252918219
298.0,16.0,8.53098998638329,8.114187453213287
298.0,19.0,9.01340648978576,8.470439607743451
298.0,22.0,9.412370005771974,8.684156989301115
298.0,25.0,9.266125300456856,8.552408534374148
323.0,0.05,0.1209412951856569,0.1200252286794788
323.0,0.21999999999999997,0.5072362638526486,0.5031986217561464
323.0,0.38999999999999996,0.859613121420957,0.8524439791000183
323.0,0.56,1.1830171772527016,1.172705859397032
323.0,0.73,1.4814189088261445,1.4679556898461625
323.0,0.9,1.7580826293853924,1.7414570342851519
323.0,1.0,1.911789263099049,1.8932969526101096
323.0,2.0,3.131029803439202,3.093676117240956
323.0,3.0,3.9908229917576836,3.934212269425155
323.0,4.0,4.659087749641602,4.582807656910829
323.0,5.0,5.126165334423011,5.029774734631071
323.0,6.0,5.520697184419914,5.403728514908139
323.0,7.0,5.878594621102094,5.740553171147459
323.0,8.0,6.172854530045108,6.01320403909691
323.0,9.0,6.4132655904591855,6.231443422517993
323.0,10.0,6.637212022319662,6.432601343383757
323.0,13.0,7.205978879452541,6.928823867829914
323.0,16.0,7.643914142450503,7.286523926149546
323.0,19.0,8.018334813246165,7.570288920028735
323.0,22.0,8.382533850016957,7.828607698445382
323.0,25.0,8.77438188096533,8.089226783911517
